Date,Time,Temperature(C),Humidity(%RH)
2024-07-17,01:27,31.28,82.5
2024-07-17,01:28,31.3,82.43
2024-07-17,01:29,31.33,82.35
2024-07-17,01:30,31.36,82.27
2024-07-17,01:31,31.39,82.19
2024-07-17,01:32,31.41,82.11
2024-07-17,01:33,31.44,82.03
2024-07-17,01:34,31.47,81.95
2024-07-17,01:35,31.5,81.87
2024-07-17,01:36,31.53,81.79
2024-07-17,01:37,31.28,81.92
2024-07-17,01:38,31.3,82.05
2024-07-17,01:39,31.33,82.19
2024-07-17,01:40,31.36,82.33
2024-07-17,01:41,31.39,82.46
2024-07-17,01:42,31.41,82.6
2024-07-17,01:43,31.44,82.74
2024-07-17,01:44,31.47,82.87
2024-07-17,01:45,31.5,83.01
2024-07-17,01:46,31.53,83.15
2024-07-17,01:47,31.41,82.88
2024-07-17,01:48,31.42,82.96
2024-07-17,01:49,31.43,83.04
2024-07-17,01:50,31.45,83.12
2024-07-17,01:51,31.46,83.2
2024-07-17,01:52,31.47,83.28
2024-07-17,01:53,31.49,83.36
2024-07-17,01:54,31.5,83.44
2024-07-17,01:55,31.51,83.52
2024-07-17,01:56,31.53,83.6
2024-07-17,01:57,31.53,82.95
2024-07-17,01:58,31.52,83.07
2024-07-17,01:59,31.5,83.19
2024-07-17,02:00,31.48,83.31
2024-07-17,02:01,31.46,83.43
2024-07-17,02:02,31.45,83.55
2024-07-17,02:03,31.43,83.67
2024-07-17,02:04,31.41,83.79
2024-07-17,02:05,31.39,83.91
2024-07-17,02:06,31.37,84.04
2024-07-17,02:07,31.41,83.21
2024-07-17,02:08,31.39,83.3
2024-07-17,02:09,31.36,83.39
2024-07-17,02:10,31.34,83.48
2024-07-17,02:11,31.31,83.57
2024-07-17,02:12,31.29,83.66
2024-07-17,02:13,31.26,83.75
2024-07-17,02:14,31.24,83.84
2024-07-17,02:15,31.21,83.93
2024-07-17,02:16,31.18,84.03
2024-07-17,02:17,31.18,83.73
2024-07-17,02:18,31.21,83.85
2024-07-17,02:19,31.25,83.98
2024-07-17,02:20,31.29,84.11
2024-07-17,02:21,31.33,84.24
2024-07-17,02:22,31.37,84.36
2024-07-17,02:23,31.41,84.49
2024-07-17,02:24,31.45,84.62
2024-07-17,02:25,31.49,84.75
2024-07-17,02:26,31.53,84.88
2024-07-17,02:27,31.41,85.98
2024-07-17,02:28,31.42,85.79
2024-07-17,02:29,31.43,85.59
2024-07-17,02:30,31.45,85.39
2024-07-17,02:31,31.46,85.19
2024-07-17,02:32,31.47,84.99
2024-07-17,02:33,31.49,84.79
2024-07-17,02:34,31.5,84.59
2024-07-17,02:35,31.51,84.39
2024-07-17,02:36,31.53,84.19
2024-07-17,02:37,31.35,83.62
2024-07-17,02:38,31.37,83.76
2024-07-17,02:39,31.39,83.9
2024-07-17,02:40,31.41,84.04
2024-07-17,02:41,31.43,84.18
2024-07-17,02:42,31.45,84.32
2024-07-17,02:43,31.47,84.46
2024-07-17,02:44,31.49,84.6
2024-07-17,02:45,31.51,84.74
2024-07-17,02:46,31.53,84.88
2024-07-17,02:47,31.28,83.48
2024-07-17,02:48,31.3,83.52
2024-07-17,02:49,31.33,83.57
2024-07-17,02:50,31.36,83.62
2024-07-17,02:51,31.39,83.67
2024-07-17,02:52,31.41,83.72
2024-07-17,02:53,31.44,83.77
2024-07-17,02:54,31.47,83.82
2024-07-17,02:55,31.5,83.87
2024-07-17,02:56,31.53,83.92
2024-07-17,02:57,31.49,84.48
2024-07-17,02:58,31.46,84.42
2024-07-17,02:59,31.43,84.35
2024-07-17,03:00,31.39,84.28
2024-07-17,03:01,31.36,84.21
2024-07-17,03:02,31.32,84.14
2024-07-17,03:03,31.29,84.07
2024-07-17,03:04,31.25,84.0
2024-07-17,03:05,31.22,83.93
2024-07-17,03:06,31.18,83.86
2024-07-17,03:07,31.41,84.19
2024-07-17,03:08,31.39,84.21
2024-07-17,03:09,31.37,84.23
2024-07-17,03:10,31.34,84.26
2024-07-17,03:11,31.32,84.28
2024-07-17,03:12,31.3,84.31
2024-07-17,03:13,31.27,84.33
2024-07-17,03:14,31.25,84.36
2024-07-17,03:15,31.23,84.38
2024-07-17,03:16,31.2,84.41
2024-07-17,03:17,31.41,84.48
2024-07-17,03:18,31.39,84.44
2024-07-17,03:19,31.37,84.4
2024-07-17,03:20,31.35,84.35
2024-07-17,03:21,31.33,84.31
2024-07-17,03:22,31.3,84.27
2024-07-17,03:23,31.28,84.22
2024-07-17,03:24,31.26,84.18
2024-07-17,03:25,31.24,84.14
2024-07-17,03:26,31.21,84.09
2024-07-17,03:27,31.41,84.54
2024-07-17,03:28,31.39,84.51
2024-07-17,03:29,31.37,84.48
2024-07-17,03:30,31.35,84.45
2024-07-17,03:31,31.33,84.42
2024-07-17,03:32,31.3,84.38
2024-07-17,03:33,31.28,84.35
2024-07-17,03:34,31.26,84.32
2024-07-17,03:35,31.24,84.29
2024-07-17,03:36,31.21,84.25
2024-07-17,03:37,31.41,84.36
2024-07-17,03:38,31.39,84.39
2024-07-17,03:39,31.36,84.43
2024-07-17,03:40,31.33,84.46
2024-07-17,03:41,31.3,84.5
2024-07-17,03:42,31.27,84.53
2024-07-17,03:43,31.24,84.57
2024-07-17,03:44,31.21,84.6
2024-07-17,03:45,31.18,84.64
2024-07-17,03:46,31.15,84.68
2024-07-17,03:47,31.28,84.7
2024-07-17,03:48,31.26,84.76
2024-07-17,03:49,31.23,84.82
2024-07-17,03:50,31.2,84.88
2024-07-17,03:51,31.18,84.94
2024-07-17,03:52,31.15,85.01
2024-07-17,03:53,31.12,85.07
2024-07-17,03:54,31.1,85.13
2024-07-17,03:55,31.07,85.19
2024-07-17,03:56,31.04,85.26
2024-07-17,03:57,31.13,85.27
2024-07-17,03:58,31.14,85.3
2024-07-17,03:59,31.15,85.33
2024-07-17,04:00,31.16,85.36
2024-07-17,04:01,31.17,85.39
2024-07-17,04:02,31.18,85.42
2024-07-17,04:03,31.19,85.45
2024-07-17,04:04,31.2,85.48
2024-07-17,04:05,31.21,85.51
2024-07-17,04:06,31.22,85.55
2024-07-17,04:07,31.41,85.4
2024-07-17,04:08,31.37,85.42
2024-07-17,04:09,31.33,85.45
2024-07-17,04:10,31.29,85.48
2024-07-17,04:11,31.25,85.5
2024-07-17,04:12,31.21,85.53
2024-07-17,04:13,31.17,85.56
2024-07-17,04:14,31.13,85.58
2024-07-17,04:15,31.09,85.61
2024-07-17,04:16,31.04,85.64
2024-07-17,04:17,31.15,85.53
2024-07-17,04:18,31.13,85.56
2024-07-17,04:19,31.1,85.59
2024-07-17,04:20,31.07,85.62
2024-07-17,04:21,31.04,85.65
2024-07-17,04:22,31.02,85.68
2024-07-17,04:23,30.99,85.71
2024-07-17,04:24,30.96,85.74
2024-07-17,04:25,30.93,85.77
2024-07-17,04:26,30.9,85.8
2024-07-17,04:27,31.17,85.82
2024-07-17,04:28,31.14,85.86
2024-07-17,04:29,31.11,85.91
2024-07-17,04:30,31.08,85.95
2024-07-17,04:31,31.05,86.0
2024-07-17,04:32,31.02,86.04
2024-07-17,04:33,30.99,86.09
2024-07-17,04:34,30.96,86.13
2024-07-17,04:35,30.93,86.18
2024-07-17,04:36,30.9,86.23
2024-07-17,04:37,31.1,86.07
2024-07-17,04:38,31.08,86.1
2024-07-17,04:39,31.06,86.14
2024-07-17,04:40,31.03,86.18
2024-07-17,04:41,31.01,86.21
2024-07-17,04:42,30.98,86.25
2024-07-17,04:43,30.96,86.29
2024-07-17,04:44,30.93,86.32
2024-07-17,04:45,30.91,86.36
2024-07-17,04:46,30.88,86.4
2024-07-17,04:47,30.78,86.39
