Date,Time,Temperature_Celsius(℃),Relative_Humidity(%),DPT(℃),VPD(kPa),Abs Humidity(g/m³)
2024-07-09,11:20,36.2,66,28.8,2.04,27.76
2024-07-09,11:21,36.1,66,28.7,2.03,27.62
2024-07-09,11:22,36.0,66,28.6,2.02,27.48
2024-07-09,11:23,35.9,66,28.5,2.01,27.34
2024-07-09,11:24,35.8,66,28.5,2.0,27.2
2024-07-09,11:25,35.8,66,28.4,1.99,27.13
2024-07-09,11:26,35.7,66,28.4,1.99,27.06
2024-07-09,11:27,35.7,66,28.3,1.98,26.99
2024-07-09,11:28,35.6,66,28.3,1.98,26.92
2024-07-09,11:29,35.5,66,28.2,1.97,26.85
2024-07-09,11:30,35.5,67,28.4,1.91,27.18
2024-07-09,11:31,35.5,67,28.4,1.91,27.18
2024-07-09,11:32,35.5,67,28.4,1.91,27.18
2024-07-09,11:33,35.5,67,28.5,1.91,27.25
2024-07-09,11:34,35.6,67,28.5,1.92,27.32
2024-07-09,11:35,35.6,67,28.5,1.92,27.32
2024-07-09,11:36,35.6,67,28.5,1.92,27.32
2024-07-09,11:37,35.8,67,28.7,1.93,27.54
2024-07-09,11:38,35.9,67,28.8,1.95,27.75
2024-07-09,11:39,36.0,67,28.9,1.96,27.9
2024-07-09,11:40,36.1,67,29.0,1.97,28.04
2024-07-09,11:41,36.3,67,29.2,1.99,28.33
2024-07-09,11:42,36.5,67,29.4,2.01,28.62
2024-07-09,11:43,36.5,65,28.9,2.14,27.84
2024-07-09,11:44,36.6,64,28.7,2.21,27.48
2024-07-09,11:45,36.7,64,28.8,2.22,27.62
2024-07-09,11:46,36.8,65,29.1,2.17,28.2
2024-07-09,11:47,36.9,65,29.2,2.18,28.35
2024-07-09,11:48,37.0,65,29.3,2.2,28.49
2024-07-09,11:49,37.1,65,29.4,2.21,28.64
2024-07-09,11:50,37.2,65,29.5,2.22,28.78
2024-07-09,11:51,37.3,65,29.6,2.23,28.93
2024-07-09,11:52,37.4,65,29.7,2.24,29.08
2024-07-09,11:53,37.5,63,29.2,2.38,28.26
2024-07-09,11:54,37.5,62,29.0,2.45,27.88
2024-07-09,11:55,37.5,62,29.0,2.46,27.95
2024-07-09,11:56,37.6,62,29.1,2.46,28.02
2024-07-09,11:57,37.7,62,29.2,2.48,28.17
2024-07-09,11:58,37.8,62,29.3,2.49,28.31
2024-07-09,11:59,38.0,62,29.4,2.52,28.6
2024-07-09,12:00,38.2,62,29.6,2.54,28.89
2024-07-09,12:01,38.3,62,29.7,2.56,29.04
2024-07-09,12:02,38.4,62,29.8,2.57,29.19
2024-07-09,12:03,38.5,62,29.9,2.58,29.26
2024-07-09,12:04,38.5,62,29.9,2.59,29.33
2024-07-09,12:05,38.5,62,30.0,2.59,29.41
2024-07-09,12:06,38.6,62,30.0,2.6,29.48
2024-07-09,12:07,38.7,61,29.8,2.68,29.16
2024-07-09,12:08,38.8,61,29.9,2.7,29.3
2024-07-09,12:09,39.0,61,30.1,2.73,29.6
2024-07-09,12:10,39.2,61,30.3,2.76,29.9
2024-07-09,12:11,39.4,61,30.5,2.79,30.2
2024-07-09,12:12,39.6,61,30.7,2.82,30.51
2024-07-09,12:13,39.8,61,30.9,2.85,30.82
2024-07-09,12:14,40.0,61,31.0,2.88,31.13
2024-07-09,12:15,40.0,61,31.0,2.88,31.13
2024-07-09,12:16,40.0,61,31.0,2.88,31.13
2024-07-09,12:17,39.8,59,30.3,2.99,29.81
2024-07-09,12:18,39.6,58,29.8,3.03,29.01
2024-07-09,12:19,39.4,58,29.6,3.0,28.72
2024-07-09,12:20,39.2,58,29.4,2.97,28.43
2024-07-09,12:21,39.1,58,29.3,2.95,28.29
2024-07-09,12:22,39.0,58,29.2,2.94,28.14
2024-07-09,12:23,38.8,58,29.0,2.9,27.86
2024-07-09,12:24,38.6,58,28.9,2.87,27.58
2024-07-09,12:25,38.6,59,29.2,2.81,28.06
2024-07-09,12:26,38.6,60,29.4,2.74,28.53
2024-07-09,12:27,38.7,60,29.5,2.74,28.6
2024-07-09,12:28,38.7,60,29.5,2.75,28.68
2024-07-09,12:29,38.8,60,29.6,2.77,28.82
2024-07-09,12:30,38.9,60,29.7,2.78,28.97
2024-07-09,12:31,38.9,60,29.7,2.78,28.97
2024-07-09,12:32,38.9,60,29.7,2.78,28.97
2024-07-09,12:33,39.0,59,29.5,2.86,28.56
2024-07-09,12:34,39.0,59,29.5,2.87,28.63
2024-07-09,12:35,39.2,59,29.7,2.89,28.85
2024-07-09,12:36,39.3,59,29.8,2.91,29.07
2024-07-09,12:37,39.5,57,29.4,3.09,28.37
2024-07-09,12:38,39.7,56,29.3,3.19,28.15
2024-07-09,12:39,39.8,56,29.4,3.21,28.29
2024-07-09,12:40,39.9,56,29.5,3.23,28.43
2024-07-09,12:41,40.0,56,29.6,3.25,28.58
2024-07-09,12:42,40.1,57,30.0,3.19,29.23
2024-07-09,12:43,40.2,57,30.0,3.21,29.38
2024-07-09,12:44,40.3,57,30.1,3.22,29.53
2024-07-09,12:45,40.3,57,30.1,3.22,29.53
2024-07-09,12:46,40.3,57,30.1,3.22,29.53
2024-07-09,12:47,40.3,54,29.2,3.46,28.04
2024-07-09,12:48,40.4,52,28.6,3.62,27.07
2024-07-09,12:49,40.3,53,28.9,3.52,27.45
2024-07-09,12:50,40.2,55,29.4,3.35,28.35
2024-07-09,12:51,40.3,55,29.6,3.38,28.56
2024-07-09,12:52,40.5,55,29.7,3.41,28.78
2024-07-09,12:53,40.7,55,29.9,3.44,29.06
2024-07-09,12:54,40.9,55,30.1,3.48,29.36
2024-07-09,12:55,41.1,55,30.2,3.51,29.58
2024-07-09,12:56,41.2,55,30.3,3.54,29.8
2024-07-09,12:57,41.2,55,30.3,3.54,29.8
2024-07-09,12:58,41.2,55,30.3,3.54,29.8
2024-07-09,12:59,41.2,55,30.3,3.53,29.72
2024-07-09,13:00,41.1,55,30.3,3.52,29.65
2024-07-09,13:01,40.9,55,30.1,3.48,29.36
2024-07-09,13:02,40.7,55,29.9,3.44,29.06
2024-07-09,13:03,40.6,55,29.7,3.42,28.85
2024-07-09,13:04,40.4,55,29.6,3.39,28.63
2024-07-09,13:05,40.2,55,29.4,3.35,28.35
2024-07-09,13:06,40.0,55,29.2,3.32,28.07
2024-07-09,13:07,39.7,55,29.0,3.27,27.65
2024-07-09,13:08,39.4,55,28.7,3.21,27.23
2024-07-09,13:09,39.3,56,28.9,3.13,27.59
2024-07-09,13:10,39.2,57,29.1,3.04,27.94
2024-07-09,13:11,39.2,57,29.1,3.03,27.87
2024-07-09,13:12,39.1,57,29.0,3.02,27.8
2024-07-09,13:13,39.2,57,29.1,3.03,27.87
2024-07-09,13:14,39.2,57,29.1,3.04,27.94
2024-07-09,13:15,39.3,57,29.2,3.05,28.01
2024-07-09,13:16,39.3,57,29.2,3.05,28.08
2024-07-09,13:17,39.3,57,29.3,3.06,28.15
2024-07-09,13:18,39.4,57,29.3,3.07,28.22
2024-07-09,13:19,39.4,57,29.3,3.07,28.22
2024-07-09,13:20,39.4,57,29.3,3.07,28.22
2024-07-09,13:21,39.4,57,29.3,3.07,28.22
2024-07-09,13:22,39.4,57,29.3,3.07,28.22
2024-07-09,13:23,39.3,57,29.3,3.06,28.15
2024-07-09,13:24,39.3,57,29.2,3.05,28.08
2024-07-09,13:25,39.4,57,29.3,3.07,28.22
2024-07-09,13:26,39.5,57,29.4,3.09,28.37
2024-07-09,13:27,39.6,57,29.5,3.1,28.51
2024-07-09,13:28,39.7,57,29.6,3.12,28.65
2024-07-09,13:29,39.8,55,29.1,3.29,27.86
2024-07-09,13:30,40.0,54,28.9,3.39,27.56
2024-07-09,13:31,40.0,55,29.2,3.32,28.07
2024-07-09,13:32,40.0,57,29.9,3.17,29.09
2024-07-09,13:33,40.0,56,29.6,3.25,28.65
2024-07-09,13:34,40.1,56,29.6,3.26,28.72
2024-07-09,13:35,40.2,56,29.7,3.27,28.79
2024-07-09,13:36,40.2,56,29.7,3.28,28.86
2024-07-09,13:37,40.2,56,29.7,3.28,28.86
2024-07-09,13:38,40.2,56,29.7,3.28,28.86
2024-07-09,13:39,40.3,55,29.5,3.36,28.42
2024-07-09,13:40,40.3,55,29.5,3.37,28.49
2024-07-09,13:41,40.3,55,29.6,3.38,28.56
2024-07-09,13:42,40.4,55,29.6,3.39,28.63
2024-07-09,13:43,40.5,55,29.7,3.4,28.7
2024-07-09,13:44,40.5,55,29.7,3.41,28.78
2024-07-09,13:45,40.6,53,29.2,3.58,27.87
2024-07-09,13:46,40.7,52,28.9,3.67,27.48
2024-07-09,13:47,40.7,52,28.9,3.67,27.48
2024-07-09,13:48,40.7,53,29.2,3.6,28.01
2024-07-09,13:49,40.6,53,29.1,3.57,27.8
2024-07-09,13:50,40.4,53,29.0,3.54,27.59
2024-07-09,13:51,40.2,53,28.8,3.5,27.32
2024-07-09,13:52,40.0,54,28.9,3.39,27.56
2024-07-09,13:53,39.8,54,28.7,3.36,27.28
2024-07-09,13:54,39.6,54,28.6,3.32,27.01
2024-07-09,13:55,39.4,54,28.4,3.29,26.74
2024-07-09,13:56,39.2,55,28.5,3.18,26.96
2024-07-09,13:57,39.2,55,28.5,3.17,26.89
2024-07-09,13:58,39.1,56,28.7,3.09,27.31
2024-07-09,13:59,39.0,56,28.6,3.08,27.17
2024-07-09,14:00,38.9,56,28.5,3.06,27.04
2024-07-09,14:01,38.8,56,28.5,3.05,26.97
2024-07-09,14:02,38.8,56,28.4,3.04,26.9
2024-07-09,14:03,38.8,56,28.4,3.04,26.9
2024-07-09,14:04,38.8,56,28.4,3.04,26.9
2024-07-09,14:05,38.8,56,28.4,3.04,26.9
2024-07-09,14:06,38.8,56,28.4,3.04,26.9
2024-07-09,14:07,38.8,56,28.4,3.04,26.83
2024-07-09,14:08,38.7,56,28.3,3.03,26.77
2024-07-09,14:09,38.7,56,28.3,3.02,26.7
2024-07-09,14:10,38.6,57,28.6,2.94,27.11
2024-07-09,14:11,38.5,57,28.5,2.93,27.04
2024-07-09,14:12,38.5,57,28.5,2.93,26.97
2024-07-09,14:13,38.4,57,28.4,2.91,26.83
2024-07-09,14:14,38.3,58,28.6,2.83,27.17
2024-07-09,14:15,38.3,58,28.5,2.82,27.1
2024-07-09,14:16,38.2,58,28.5,2.81,27.03
2024-07-09,14:17,38.3,58,28.5,2.82,27.1
2024-07-09,14:18,38.3,59,28.9,2.76,27.63
2024-07-09,14:19,38.3,59,28.8,2.75,27.56
2024-07-09,14:20,38.2,59,28.8,2.75,27.49
2024-07-09,14:21,38.2,59,28.7,2.74,27.42
2024-07-09,14:22,38.1,59,28.7,2.73,27.35
2024-07-09,14:23,38.0,59,28.6,2.72,27.28
2024-07-09,14:24,38.0,59,28.6,2.72,27.22
2024-07-09,14:25,38.0,60,28.8,2.64,27.61
2024-07-09,14:26,37.9,61,29.1,2.57,28.0
2024-07-09,14:27,38.0,61,29.1,2.58,28.07
2024-07-09,14:28,38.0,61,29.2,2.58,28.14
2024-07-09,14:29,38.0,60,28.9,2.65,27.68
2024-07-09,14:30,38.0,60,28.9,2.65,27.68
2024-07-09,14:31,38.0,60,28.8,2.64,27.61
2024-07-09,14:32,37.9,60,28.8,2.64,27.54
2024-07-09,14:33,37.9,60,28.8,2.64,27.54
2024-07-09,14:34,37.9,60,28.8,2.64,27.54
2024-07-09,14:35,38.0,60,28.9,2.65,27.68
2024-07-09,14:36,38.1,60,29.0,2.66,27.82
2024-07-09,14:37,38.2,60,29.0,2.67,27.89
2024-07-09,14:38,38.2,60,29.1,2.68,27.96
2024-07-09,14:39,38.2,59,28.8,2.75,27.49
2024-07-09,14:40,38.2,59,28.8,2.75,27.49
2024-07-09,14:41,38.3,59,28.8,2.75,27.56
2024-07-09,14:42,38.3,59,28.9,2.76,27.63
2024-07-09,14:43,38.3,59,28.9,2.76,27.63
2024-07-09,14:44,38.3,59,28.9,2.76,27.63
2024-07-09,14:45,38.3,59,28.9,2.76,27.63
2024-07-09,14:46,38.3,59,28.9,2.76,27.63
2024-07-09,14:47,38.3,59,28.9,2.76,27.63
