Date,Time,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
2024-06-01,00:00,"Kankarbagh, Patna",31.0,44.3,29.0,89.14,0.0,0.0,,0,0,33.5,18.4,100.0,1000.0,27.0,3.0,0,0.0,0,15,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-01,01:00,"Kankarbagh, Patna",31.0,44.3,29.0,89.14,0.0,0.0,,0,0,34.2,20.5,100.0,1000.0,0.0,3.0,0,0.0,0,15,Clear,clear-night,"VEPT,42492099999"
2024-06-01,02:00,"Kankarbagh, Patna",29.6,38.8,27.5,88.1,0.0,0.0,,0,0,33.5,16.9,90.0,1000.1,40.0,2.6,0,0.0,0,15,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-01,03:00,"Kankarbagh, Patna",30.0,44.1,30.0,100.0,0.0,0.0,,0,0,22.7,18.4,90.0,1000.0,0.0,3.0,0,0.0,0,15,Clear,clear-night,"VEPT,42492099999"
2024-06-01,04:00,"Kankarbagh, Patna",30.0,40.4,28.0,89.07,0.0,0.0,,0,0,22.3,18.4,90.0,1001.0,0.0,3.0,0,0.0,0,15,Clear,clear-night,"VEPT,42492099999"
2024-06-01,05:00,"Kankarbagh, Patna",29.4,37.5,26.8,85.99,0.0,0.0,,0,0,25.2,13.3,84.0,1001.1,30.9,2.6,0,0.0,0,15,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-01,06:00,"Kankarbagh, Patna",30.0,42.2,29.0,94.4,0.0,0.0,,0,0,28.8,16.6,80.0,1002.0,27.0,3.0,10,0.0,0,15,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-01,07:00,"Kankarbagh, Patna",31.0,44.3,29.0,89.14,0.0,0.0,,0,0,27.7,22.3,80.0,1002.0,0.0,4.0,149,0.5,1,15,Clear,clear-day,"VEPT,42492099999"
2024-06-01,08:00,"Kankarbagh, Patna",31.7,43.1,27.7,79.55,0.0,0.0,,0,0,25.2,16.8,102.0,1002.9,42.3,4.0,364,1.3,4,5,Partially cloudy,partly-cloudy-day,"42387099999,42488099999,VEPT,42492099999"
2024-06-01,09:00,"Kankarbagh, Patna",33.0,47.9,29.0,79.6,0.0,0.0,,0,0,21.2,18.4,110.0,1003.0,50.0,5.0,577,2.1,6,3,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
