Logger,Settlement,Shaded,Intervention Type,Master Max Temperature,Master Min Temperature,Master Average Temperature,Temp Diff Max Temperature,Temp Diff Min Temperature,Temp Diff Average Temperature
R-01,Sports Complex,False,CONTROL,38.25,27.1,32.387332625301255,6.159999999999997,-4.826666666666664,0.17183766101001857
R-02,Sports Complex,False,CONTROL,61.76,26.56,35.145939708345246,24.751666666666665,-4.780000000000001,2.9352980891198492
R-04,Sports Complex,True,CONTROL,36.83,26.81,31.550064131367183,3.6700000000000017,-4.803333333333328,-0.6676314172163721
R-05,Sports Complex,False,CONTROL,39.43,26.03,32.03380989338671,5.856666666666673,-4.940000000000001,-0.18206837327226605
R-06,Sports Complex,False,CONTROL,39.51,26.82,32.18478942853641,7.140000000000001,-4.776666666666664,-0.030943651020992568
R-07,Sports Complex,False,CONTROL,52.79,26.83,32.18866222785017,18.006666666666668,-5.169999999999998,-0.02706830925387775
R-08,Sports Complex,False,CONTROL,42.17,26.56,32.86646828152445,8.17666666666667,-4.419999999999998,0.6515626533616884
R-09,Rainbow Field,False,CONTROL,42.09,26.24,31.845294292131022,9.546666666666669,-6.960000000000001,-0.3304593070104752
R-10,Rainbow Field,True,CONTROL,38.57,27.3,32.050181810476346,6.97666666666667,-6.629999999999999,-0.1251235144312392
R-11,Rainbow Field,False,CONTROL,45.57,25.83,32.65882973763404,10.20333333333333,-6.899999999999999,0.4848760295491215
R-12,Rainbow Field,False,CONTROL,40.62,27.62,32.000446394505914,8.296666666666667,-6.379999999999999,-0.17410283627717374
R-14,Rainbow Field,False,CONTROL,43.46,26.85,32.816109391562435,10.46,-6.390000000000001,0.6426939883755465
R-15,Sports Complex,True,CONTROL,36.31,26.29,31.56315936744817,4.743333333333329,-6.609999999999999,-0.61175901159088
R-16,Sports Complex,True,CONTROL,38.28,26.73,31.68533288101094,5.909999999999997,-6.16,-0.48885076021404894
R-17,Sports Complex,False,CONTROL,40.85,27.43,32.711122375397665,7.630000000000003,-6.07,0.5390273001316183
R-20,Sports Complex,False,Unknown,42.33,28.05,35.57585354845989,9.700000000000005,-5.949999999999999,2.7944982503668583
U-03,Rainbow Field,True,RBF,44.5,27.1,34.290456664792835,10.4,-5.800000000000001,1.771209912536443
U-04,Rainbow Field,False,MEB,43.4,27.0,33.441468744845785,8.280000000000001,-5.273333333333333,0.3118207800476112
U-05,Rainbow Field,True,MEB,42.1,26.1,32.97950133924142,9.42333333333334,-5.4999999999999964,0.46004994173464303
U-08,Rainbow Field,False,MEB,46.2,26.6,32.376498793029334,11.266666666666666,-5.233333333333334,-0.1467171465577363
U-09,Rainbow Field,False,RBF,39.5,26.9,32.88866439601865,6.813333333333333,-5.013333333333332,0.3685163609733365
U-11,Rainbow Field,False,RBF,38.4,26.6,32.64969412387157,6.280000000000001,-4.966666666666669,0.12792531948881802
U-12,Rainbow Field,False,MEB,44.5,27.2,32.30513210541979,13.335,-8.600000000000001,-0.2179070846311882
U-13,Rainbow Field,True,RBF,37.2,26.4,32.18032472471149,6.100000000000001,-5.466666666666669,-0.34487205117952796
U-14,Rainbow Field,False,RBF,39.9,26.9,33.07254389735789,8.14,-5.026666666666667,0.5550612421987119
U-15,Rainbow Field,False,RBF,42.8,26.6,32.48228563870243,10.799999999999995,-5.106666666666666,-0.04086580376902945
U-16,Sports Complex,False,RBF,39.0,26.7,30.14285536003994,7.529999999999994,-5.09333333333333,-0.33614181526917036
U-17,Sports Complex,True,RBF,38.6,26.2,32.01145471628743,6.419999999999998,-4.986666666666665,-0.20611179782996825
U-18,Sports Complex,False,RBF,,,,,,
U-19,Sports Complex,True,MEB,38.5,25.6,31.712027126399217,5.053333333333335,-5.026666666666667,-0.510734575569358
U-20,Sports Complex,True,MEB,38.5,26.6,31.701519669921158,6.860000000000003,-4.913333333333334,-0.5191458419243985
U-21,Sports Complex,True,MEB,39.6,26.2,31.691899178888026,6.046666666666667,-4.873333333333335,-0.5277308204051957
U-22,Sports Complex,True,RBF,36.8,26.0,31.403345724907062,5.66,-5.263333333333332,-0.8177800622284358
U-23,Sports Complex,True,RBF,38.0,26.6,32.070444054087176,6.143333333333334,-4.926666666666669,-0.14662050774810395
U-25,Sports Complex,False,MEB,44.1,26.5,32.796781177239495,13.97333333333333,-4.879999999999996,0.5875113570661604
U-26,Sports Complex,False,Unknown,,,,,,
U-28,Sports Complex,False,MEB,40.7,27.0,32.20589893377997,7.866666666666664,-5.216666666666669,-0.010044775503466311
U-29,Sports Complex,False,MEB,43.4,26.7,32.51447771559296,9.773333333333332,-5.146666666666665,0.3023196728083948
U-31,Sports Complex,True,MEB,36.2,26.6,31.592916956006697,5.399999999999999,-5.086666666666663,-0.6280970625798211
U-32,Sports Complex,True,RBF,36.2,26.6,31.482296474817204,5.299999999999997,-5.300000000000001,-0.739147797447509
U-33,Sports Complex,True,RBF,37.5,26.4,31.485837996813856,6.799999999999997,-5.399999999999999,-0.7365184055402118
U-34,Sports Complex,True,CONTROL,,,,,,
U-36,Sports Complex,True,RBF,35.5,26.3,31.572668600138883,4.829999999999998,-5.199999999999999,-0.6483319604612848
U-37,Sports Complex,True,RBF,34.2,26.3,31.1556268126302,4.199999999999996,-5.300000000000001,-1.0677707373271887
U-38,Sports Complex,True,RBF,34.7,27.0,31.525554511662104,4.459999999999997,-5.700000000000003,-0.6966107285696612
