name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Kankarbagh, Patna",2024-06-01T00:00:00,31,44.3,29,89.14,0,0,,0,0,33.5,18.4,100,1000,27,3,0,0,0,15,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T01:00:00,31,44.3,29,89.14,0,0,,0,0,34.2,20.5,100,1000,0,3,0,0,0,15,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T02:00:00,29.6,38.8,27.5,88.1,0,0,,0,0,33.5,16.9,90,1000.1,40,2.6,0,0,0,15,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T03:00:00,30,44.1,30,100,0,0,,0,0,22.7,18.4,90,1000,0,3,0,0,0,15,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T04:00:00,30,40.4,28,89.07,0,0,,0,0,22.3,18.4,90,1001,0,3,0,0,0,15,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T05:00:00,29.4,37.5,26.8,85.99,0,0,,0,0,25.2,13.3,84,1001.1,30.9,2.6,0,0,0,15,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T06:00:00,30,42.2,29,94.4,0,0,,0,0,28.8,16.6,80,1002,27,3,10,0,0,15,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T07:00:00,31,44.3,29,89.14,0,0,,0,0,27.7,22.3,80,1002,0,4,149,0.5,1,15,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T08:00:00,31.7,43.1,27.7,79.55,0,0,,0,0,25.2,16.8,102,1002.9,42.3,4,364,1.3,4,5,Partially cloudy,partly-cloudy-day,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T09:00:00,33,47.9,29,79.6,0,0,,0,0,21.2,18.4,110,1003,50,5,577,2.1,6,3,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T10:00:00,35,53.5,30,75.42,0,0,,0,0,17.6,22.3,90,1002,50,5,762,2.7,8,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T11:00:00,34.6,49.7,28.7,71.19,0,0,,0,0,12.6,18.4,90,1002,53.9,4.6,904,3.3,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T12:00:00,36,55,30,71.36,0,0,,0,0,10.4,20.5,80,1001,50,5,987,3.6,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T13:00:00,36,55,30,71.36,0,0,,0,0,17.6,18.4,60,1001,50,5,1011,3.6,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T14:00:00,35.7,51.7,28.8,67.84,0,0,,0,0,18.4,12.2,78,999.9,61.8,4.6,966,3.5,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T15:00:00,36,55,30,71.36,0,0,,0,0,21.6,16.6,80,1000,27,4,862,3.1,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T16:00:00,35,56.4,31,79.86,0,0,,0,0,23.4,14.8,60,999,27,4,701,2.5,7,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T17:00:00,34.6,51.5,29.4,74.69,0,0,,0,0,23.4,9.2,78,998.9,35.2,4,501,1.8,5,10,Partially cloudy,partly-cloudy-day,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T18:00:00,35,56.4,31,79.86,0,0,,0,0,18.7,11.2,80,999,27,3,274,1,3,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T19:00:00,34,58,32,89.36,0,0,,0,0,25.2,14.8,70,1000,50,3,61,0.2,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T20:00:00,32.7,51,30.4,87.76,0,0,,0,0,33.5,12.3,64,1001,84.9,2.6,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T21:00:00,33,53.1,31,89.29,0,0,,0,0,39.6,16.6,60,1001,88.8,3,0,0,0,60,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T22:00:00,33,53.1,31,89.29,0,0,,0,0,39.2,16.6,90,1001,88.8,3,0,0,0,15,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-01T23:00:00,32.2,47.9,29.5,85.67,0,0,,0,0,41.8,16.9,96,1001.2,84.9,2.6,0,0,0,15,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T00:00:00,32,42.3,27,74.95,0,0,,0,0,42.1,14.8,100,1002,88.8,3,0,0,0,8,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
